,,,,,,,,"(thousand KRW)","(thousand KRW)"
"2018","고용노동부","임금채권보장기금",,"사회복지","노동","기금간거래(예탁금)","임채기금에서 공자기금으로의 예탁금","200000000","200000000"
"2018","고용노동부","임금채권보장기금",,"사회복지","노동","여유자금운용","여유자금운용(임금채권보장기금)","792676000","792676000"
"2018","고용노동부","장애인고용촉진및직업재활기금",,"사회복지","노동","고용노동행정지원","장애인고용촉진기금운영비","58894000","58894000"
"2018","고용노동부","장애인고용촉진및직업재활기금",,"사회복지","노동","기금간거래(예탁금)","장애인기금에서 공자기금으로의 예탁금","150000000","150000000"
"2018","고용노동부","장애인고용촉진및직업재활기금",,"사회복지","노동","여유자금운용","여유자금운용(장애인기금)","877846000","873190000"
"2018","고용노동부","장애인고용촉진및직업재활기금",,"사회복지","노동","장애인고용증진","보조공학기기지원","9060000","9060000"
"2018","고용노동부","장애인고용촉진및직업재활기금",,"사회복지","노동","장애인고용증진","장애인 표준사업장 지원","11790000","11790000"
"2018","고용노동부","장애인고용촉진및직업재활기금",,"사회복지","노동","장애인고용증진","장애인고용연구","2722000","2722000"
"2018","고용노동부","장애인고용촉진및직업재활기금",,"사회복지","노동","장애인고용증진","장애인고용유지","21658000","21658000"
"2018","고용노동부","장애인고용촉진및직업재활기금",,"사회복지","노동","장애인고용증진","장애인고용장려금","199262000","199262000"
"2018","고용노동부","장애인고용촉진및직업재활기금",,"사회복지","노동","장애인고용증진","장애인고용정보화","2552000","2552000"
"2018","고용노동부","장애인고용촉진및직업재활기금",,"사회복지","노동","장애인고용증진","장애인기능경기대회","3807000","3807000"
"2018","고용노동부","장애인고용촉진및직업재활기금",,"사회복지","노동","장애인고용증진","장애인인식개선지원","652000","652000"
"2018","고용노동부","장애인고용촉진및직업재활기금",,"사회복지","노동","장애인고용증진","장애인직업능력개발","29462000","34118000"
"2018","고용노동부","장애인고용촉진및직업재활기금",,"사회복지","노동","장애인고용증진","장애인취업지원","22745000","22745000"
"2018","고용노동부","지역발전특별회계","생활기반계정","사회복지","노동","고용정책","사회적기업육성","72608000","72608000"
"2018","고용노동부","지역발전특별회계","세종특별자치시계정","사회복지","노동","고용정책","사회적기업육성","809000","809000"
"2018","고용노동부","지역발전특별회계","제주특별자치도계정","사회복지","노동","고용노동행정지원","자치단체직업능력개발지원(제주)","223000","223000"
"2018","고용노동부","지역발전특별회계","제주특별자치도계정","사회복지","노동","고용노동행정지원","제주이관업무지원","8882000","8882000"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","경쟁촉진","독과점시장 환경개선","1493000","3693000"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","경쟁촉진","선진 경쟁정책 추진","797000","708000"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","경쟁촉진","시장구조개선","247000","247000"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","경쟁촉진","카르텔대응강화","687000","687000"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","경쟁촉진","한국공정거래조정원 출연","6370000","6370000"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","공정거래 행정지원","공정위 정보화","1841000","1821000"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","공정거래 행정지원","기본경비","7169000","7392660"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","공정거래 행정지원","인건비","46054160","45654160"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","공정거래 행정지원","행정지원","4902000","4719000"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","소비자후생 증진","선진 소비자정책 추진","572000","472000"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","소비자후생 증진","소비자권익증진 지원","2162000","2127000"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","소비자후생 증진","소비자보호 인프라 운용","4601000","4566000"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","소비자후생 증진","한국소비자원 출연","41193000","41652000"
"2018","공정거래위원회","일반회계",,"일반·지방행정","일반행정","중소기업 경쟁여건 개선","대중소기업간 거래행태개선 및 동반성장시책추진","1356000","1336000"
"2018","과학기술정보통신부","과학기술진흥기금",,"과학기술","과학기술연구지원","과학기술기반조성","과학기술진흥단체지원","19839000","20339000"
"2018","과학기술정보통신부","과학기술진흥기금",,"과학기술","과학기술연구지원","과학기술인력양성","과학기술서비스업육성(보조)","401000","401000"
"2018","과학기술정보통신부","과학기술진흥기금",,"과학기술","과학기술연구지원","과학기술인력양성","과학기술영재인력양성","14760000","14760000"
"2018","과학기술정보통신부","과학기술진흥기금",,"과학기술","과학기술연구지원","과학기술인력양성","과학기술인력지원","4274000","4274000"
"2018","과학기술정보통신부","과학기술진흥기금",,"과학기술","과학기술연구지원","과학기술인력양성","과학기술자인력활용","2331000","2331000"
"2018","과학기술정보통신부","과학기술진흥기금",,"과학기술","과학기술연구지원","과학문화창달","과학기술문화창달사업","15972000","16407000"
"2018","과학기술정보통신부","과학기술진흥기금",,"과학기술","과학기술연구지원","기금간거래(예수이자상환)","공공자금관리기금 예수원금 및 이자상환(과학기술진흥기금)","112435000","112435000"
"2018","과학기술정보통신부","과학기술진흥기금",,"과학기술","과학기술연구지원","기금간거래(예수이자상환)","복권기금전출금","941000","941000"
"2018","과학기술정보통신부","과학기술진흥기금",,"과학기술","과학기술연구지원","여유자금운용","여유자금운용(과학기술진흥기금)","31337000","30402000"
"2018","과학기술정보통신부","과학기술진흥기금",,"과학기술","과학기술일반","과학기술기금지원","기금운영비(과학기술진흥기금)","742000","742000"
"2018","과학기술정보통신부","국립과천과학관","손익계정","과학기술","과학기술일반","계정간거래","감가상각비","1500000","1500000"
"2018","과학기술정보통신부","국립과천과학관","손익계정","과학기술","과학기술일반","계정간거래","당기순이익","1000","1000"
"2018","과학기술정보통신부","국립과천과학관","손익계정","과학기술","과학기술일반","국립과천과학관운영","건강보험부담금(책특회계)","178000","178000"
"2018","과학기술정보통신부","국립과천과학관","손익계정","과학기술","과학기술일반","국립과천과학관운영","과학교육문화(책특회계)","4970000","4970000"
"2018","과학기술정보통신부","국립과천과학관","손익계정","과학기술","과학기술일반","국립과천과학관운영","국립과천과학관 기본경비","2948000","2948000"
"2018","과학기술정보통신부","국립과천과학관","손익계정","과학기술","과학기술일반","국립과천과학관운영","국립과천과학관인건비","5734942","5894942"
"2018","과학기술정보통신부","국립과천과학관","손익계정","과학기술","과학기술일반","국립과천과학관운영","국립어린이과학관운영","2246000","2246000"
"2018","과학기술정보통신부","국립과천과학관","손익계정","과학기술","과학기술일반","국립과천과학관운영","시설관리(책특회계)","3404000","3404000"
"2018","과학기술정보통신부","국립과천과학관","손익계정","과학기술","과학기술일반","국립과천과학관운영","창의전시관운영(책특회계)","5985000","5985000"
"2018","과학기술정보통신부","국립과천과학관","손익계정","과학기술","과학기술일반","회계기금간거래","공무원연금부담금","1462000","1462000"
"2018","과학기술정보통신부","국립과천과학관","자본계정","과학기술","과학기술일반","국립과천과학관운영","과학교육문화(책특회계)","150000","150000"
"2018","과학기술정보통신부","국립과천과학관","자본계정","과학기술","과학기술일반","국립과천과학관운영","국립과천과학관 기본경비","52000","52000"
